tested up until 2605/146994

6	0	4	6	-6	-1	1	-1	4	-2	-2	-5	1	-2	9
6	0	8	0	-6	-1	0	-1	3	-4	-2	7	0	-4	3
0	4	0	4	8	-2	-2	-1	-4	4	2	-7	0	-4	3
6	6	-4	4	8	-3	-3	-1	-6	8	3	-10	1	-4	6
8	0	10	0	-8	-1	0	-1	4	-6	-4	8	1	-4	4
9	0	15	0	-9	-1.50000000000000	0	-1	6	-9	-6	11	1.50000000000000	-6	4.50000000000000
0	2	0	4	6	-1	-1	-1	-2	4	1	-6	1	-4	3
6	0	4	0	-6	0	-1	-1	2	-1	-2	3	0	-2	3
0	12	20	4	0	4	3	-1	-12	-7	-16	-3	-2	-4	6
12	2	4	0	-12	-1	-5	-2	5	0	-4	9	1	-2	6
14	2	2	0	-14	-1	-3	-2	5	-2	-4	7	1	0	7
6	0	2	0	-6	0	-1	-1	1	0	-1	3	0	-1	3
12	2	0	2	-12	0	-2	-3	0	0	-2	6	1	0	6
18	2	-4	2	-18	0	-2	-3	0	0	-2	6	1	4	9
6	7	4	0	-6	0	-2.50000000000000	-1	-3	2	-4	3	-1.50000000000000	-2	3
12	0	10	0	-12	1	-2	-2	2	-2	-6	6	-1	-2	6
18	0	12	0	-18	0	-4	-3	5	-1	-5	9	-1	-6	9
15	0	6	0	-15	-1	-4	-2.50000000000000	7	-3	-5	9	1	-1	7.50000000000000
15	0	4	0	-15	-1	-4	-2.50000000000000	6	-2	-4	9	1	0	7.50000000000000
24	0	12	0	-24	-1	-4	-4	6	-3	-5	12	1	-6	12
24	0	4	0	-24	-1	-4	-4	6	-2	-4	12	1	0	12
26	0	2	0	-26	-1	-4	-4	6	-2	-4	12	1	2	13
30	0	0	0	-30	-1	-4	-4	6	-2	-4	12	1	4	15
24	0	8	0	-24	-1	-4	-4	6	-2	-4	12	1	-4	12
0	0	2	4	4	1	1	-1	-2	0	-2	-5	1	-2	4
2	4	-2	8	0	0	-1	-2	-2	2	-2	-7	1	0	7
0	0	2	4	10	1	4	-1	-2	7	-2	-8	4	-8	3
0	0	4	8	6	2	1	-2	-4	0	-4	-9	1	-2	6
0	4	0	20	6	1	-2	-5	-6	4	-4	-18	2	0	15
0	8	6	16	0	-1	-4	-4	-6	3	-2	-12	1	-6	12
0	8	0	16	0	-1	-4	-4	-6	2	-2	-12	1	0	12
2	8	-2	16	-2	-1	-4	-4	-6	2	-2	-12	1	2	13
6	8	-4	16	-6	-1	-4	-4	-6	2	-2	-12	1	4	15
0	8	4	16	0	-1	-4	-4	-6	2	-2	-12	1	-4	12
6	8	0	0	-6	0	-3	-1	-3	5	-5	3	1	0	3
0	2	6	8	0	0	-1	-2	0	3	-2	-6	1	-6	6
6	2	4	0	-6	0	0	-1	2	-2	-4	4	1	-2	3
12	4	12	0	-12	0	-1	-2	6	-5	-10	8	2	-6	6
9	5	10	1	-9	0	-1	-2	5	-5	-10	7	2.50000000000000	-5	4.50000000000000
6	0	8	0	-6	0	0	-1	4	-2	-4	3	0	-4	3
0	2	4	8	0	0	-1	-2	0	2	-2	-6	1	-4	6
6	2	0	0	-6	0	-1.50000000000000	-1	0	2	-2	3	1	0	3
6	2	2	0	-6	0	-3	-1	1	2	-3	6	1	-1	3
6	2	0	0	-6	0	-2	-1	0	2	-2	4	1	0	3
12	2	0	0	-12	0	-2	-2	0	2	-2	6	1	0	6
6	2	12	0	-6	0	-3	-1	3	3	-5	3	-2	-6	3
6	6	4	0	-6	0	-3	-1	-1	3	-5	3	0	-2	3
6	0	8	0	-6	0	-2	-1	3	1	-3	3	-1	-4	3
6	8	4	0	-6	0	-3	-1	-3	3	-5	3	-1	-2	3
0	4	6	8	0	1	-2	-2	-4	2	-4	-6	-1	-2	6
6	18	6	0	-6	0	-5	-1	-9	7	-9	3	-2	-4	6
0	2	8	8	0	1	-1	-2	-2	0	-4	-6	0	-4	6
0	0	6	4	6	2	1	-1	-3	0	-5	-6	1	-3	3
0	6	10	4	0	2	1	-1	-6	-3	-8	-3	-1	-2	3
0	0	18	4	0	2	1	-1	0	-3	-8	-3	-2	-6	3
0	4	10	4	0	2	1	-1	-4	-3	-8	-3	0	-2	3
